brand,product,name,specific,hex,r,g,b,lightness,undertone,categories,source_dataset,source_file
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,1W1,#EFCBA4,239,203,164,0.790196,cool,gem,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,1N1,#F3CEB0,243,206,176,0.821569,neutral,textile,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,1C1,#F2CBB4,242,203,180,0.827451,cool,gem,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,1N2,#F6C8A7,246,200,167,0.809804,cool,misc,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,1C2,#F0C4AB,240,196,171,0.805882,cool,gem;color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,1W2,#F2C79D,242,199,157,0.782353,cool,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,1N3,#DFB38A,223,179,138,0.707843,neutral,textile,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,2W1,#EEC29C,238,194,156,0.772549,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,2C1,#EAB498,234,180,152,0.756863,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,2N1,#DDAD8C,221,173,140,0.707843,neutral,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,teak,2C2,#E5AE8F,229,174,143,0.729412,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,desert,2N2,#E0AE8C,224,174,140,0.713725,neutral,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buff,2W2,#E1B186,225,177,134,0.703922,cool,color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buttercup,3W1,#E2AD7F,226,173,127,0.692157,cool,plant,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,camel,3N1,#D59C79,213,156,121,0.654902,neutral,color;animal,Cosmetic Foundation Shades,allCategories.csv
