hair_color,eye_color,skin_tone,undertone,torso_length,body_proportion,recommended_colors,avoid_colors,recommended_fitting_style,recommended_materials,recommended_patterns,recommended_jewelry_metal,recommended_shoes,recommended_color_wheel_region,avoid_color_wheel_region,fabric_nature,do_exaggerate,dont_exaggerate,source_file
black,brown,very_fair,warm,short_torso,rectangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",defined_waist,structured_cotton,curved_lines,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,firm,exaggerate_waistline,don_t_exaggerate_straight_lines,recommendations.csv
black,brown,very_fair,warm,short_torso,inverted_triangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",a-line_bottoms,flowy_fabric,vertical_stripes,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,flowy,exaggerate_hips,don_t_exaggerate_shoulders,recommendations.csv
black,brown,very_fair,warm,short_torso,triangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",emphasize_top,lightweight_cotton,bright_tops,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,light,exaggerate_upper_body,don_t_exaggerate_hips,recommendations.csv
black,brown,very_fair,warm,short_torso,oval,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",wraps_and_empire,jersey_knits,diagonal_lines,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,stretchy,exaggerate_neckline_and_legs,don_t_exaggerate_midsection,recommendations.csv
black,brown,very_fair,warm,short_torso,trapezoid,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",balanced_fit,soft_blends,simple_solids,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,soft,balance_upper_and_lower_body,don_t_exaggerate_any_feature,recommendations.csv
black,brown,very_fair,warm,short_torso,hourglass,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",tailored_fit,stretchy_soft_fabric,subtle_prints,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,stretchy,highlight_waistline,don_t_exaggerate_curves_excessively,recommendations.csv
black,brown,very_fair,warm,short_torso,apple,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",empire_waist,drapey_fabric,dark_solid_tops,gold,low_heels_or_flats,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,drapey,exaggerate_shoulders_and_legs,don_t_exaggerate_waist,recommendations.csv
black,brown,very_fair,warm,long_torso,rectangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",defined_waist,structured_cotton,curved_lines,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,firm,exaggerate_waistline,don_t_exaggerate_straight_lines,recommendations.csv
black,brown,very_fair,warm,long_torso,inverted_triangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",a-line_bottoms,flowy_fabric,vertical_stripes,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,flowy,exaggerate_hips,don_t_exaggerate_shoulders,recommendations.csv
black,brown,very_fair,warm,long_torso,triangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",emphasize_top,lightweight_cotton,bright_tops,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,light,exaggerate_upper_body,don_t_exaggerate_hips,recommendations.csv
black,brown,very_fair,warm,long_torso,oval,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",wraps_and_empire,jersey_knits,diagonal_lines,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,stretchy,exaggerate_neckline_and_legs,don_t_exaggerate_midsection,recommendations.csv
black,brown,very_fair,warm,long_torso,trapezoid,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",balanced_fit,soft_blends,simple_solids,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,soft,balance_upper_and_lower_body,don_t_exaggerate_any_feature,recommendations.csv
black,brown,very_fair,warm,long_torso,hourglass,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",tailored_fit,stretchy_soft_fabric,subtle_prints,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,stretchy,highlight_waistline,don_t_exaggerate_curves_excessively,recommendations.csv
black,brown,very_fair,warm,long_torso,apple,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",empire_waist,drapey_fabric,dark_solid_tops,gold,heels_or_platforms,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,drapey,exaggerate_shoulders_and_legs,don_t_exaggerate_waist,recommendations.csv
black,brown,very_fair,warm,balanced,rectangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",defined_waist,structured_cotton,curved_lines,gold,any_style,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,firm,exaggerate_waistline,don_t_exaggerate_straight_lines,recommendations.csv
black,brown,very_fair,warm,balanced,inverted_triangle,"['earth_tones', 'olive', 'coral', 'peach', 'mustard', 'warm_red']","['cool_blue', 'icy_gray', 'jewel_tones']",a-line_bottoms,flowy_fabric,vertical_stripes,gold,any_style,warm_colors_red_orange_yellow_warm_greens,opposite_on_color_wheel,flowy,exaggerate_hips,don_t_exaggerate_shoulders,recommendations.csv
